,dzielnica,powierzchnia,lPokoi,powierzchniaDzialki,rodzajZabudowy,materialBudynku,rokBudowy,stanWykonczenia,okna,rynek,lPieter,cena
236,Dom na sprzedaż mazowieckie Warszawa Wawer ,"121,48 m²",4,460 m²,bliźniak,cegła,2023,do wykończenia,plastikowe,pierwotny,1 piętro,0
237,Dom na sprzedaż mazowieckie pruszkowski Owczarnia ,"210,74 m²",6,900 m²,wolnostojący,,2019,do zamieszkania,plastikowe,wtórny,0,2 075 000 zł
238,Dom na sprzedaż mazowieckie kozienicki Kozienice ,"101,10 m²",5,346 m²,szeregowiec,inne,0,do remontu,plastikowe,wtórny,1 piętro,610 000 zł
239,Dom na sprzedaż mazowieckie Warszawa Ursynów Imielin Makolągwy ,"460,55 m²",7,1 149 m²,wolnostojący,cegła,2013,do zamieszkania,,wtórny,1 piętro,5 600 000 zł
240,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ,185 m²,5,13 868 m²,wolnostojący,beton komórkowy,2016,,plastikowe,wtórny,0,1 350 000 zł
241,Dom na sprzedaż mazowieckie Warszawa Wawer Sadul ,115 m²,3,95 m²,,cegła,2017,,,wtórny,0,1 299 000 zł
242,Dom na sprzedaż mazowieckie grójecki Mogielnica ,182 m²,3,5 000 m²,wolnostojący,cegła,2010,,plastikowe,wtórny,0,490 000 zł
243,Dom na sprzedaż mazowieckie ciechanowski Ciechanów ul. Ignacego Kraszewskiego ,180 m²,6,1 114 m²,wolnostojący,cegła,1930,do remontu,,wtórny,parterowy,397 000 zł
244,Dom na sprzedaż mazowieckie piaseczyński Tarczyn ,"93,62 m²",4,200 m²,bliźniak,cegła,2022,do wykończenia,plastikowe,pierwotny,2 piętra,475 000 zł
245,Dom na sprzedaż mazowieckie nowodworski Nowe Polesie ,400 m²,6,16 700 m²,wolnostojący,cegła,0,,,wtórny,1 piętro,1 490 000 zł
246,Dom na sprzedaż mazowieckie pruszkowski Komorów ,225 m²,5,500 m²,bliźniak,,2019,do zamieszkania,,wtórny,2 piętra,1 999 000 zł
247,Dom na sprzedaż mazowieckie Warszawa Targówek Bródno ul. Ostródzka ,"146,70 m²",4,200 m²,szeregowiec,cegła,2023,do wykończenia,plastikowe,pierwotny,1 piętro,1 499 000 zł
248,Dom na sprzedaż mazowieckie wyszkowski Wyszków Baśniowa ,300 m²,7,440 m²,wolnostojący,pustak,2000,do wykończenia,,wtórny,3 piętra i więcej,290 000 zł
249,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,130 m²,5,125 m²,,,2022,,plastikowe,pierwotny,1 piętro,529 000 zł
250,Dom na sprzedaż mazowieckie warszawski zachodni Lipków ul. Ignacego Mościckiego ,202 m²,6,498 m²,bliźniak,silikat,2021,do wykończenia,plastikowe,pierwotny,2 piętra,0
251,Dom na sprzedaż mazowieckie Warszawa Wilanów Zdrowa ,420 m²,7,1 220 m²,wolnostojący,cegła,2019,do wykończenia,,wtórny,2 piętra,4 000 000 zł
252,Dom na sprzedaż mazowieckie pruszkowski Nadarzyn ,219 m²,6,800 m²,bliźniak,inne,2019,do wykończenia,plastikowe,pierwotny,0,889 900 zł
253,Dom na sprzedaż mazowieckie warszawski zachodni Ożarów Mazowiecki ,230 m²,6,1 030 m²,wolnostojący,cegła,2006,,drewniane,wtórny,0,1 650 000 zł
254,Dom na sprzedaż mazowieckie wołomiński Zielonka ,150 m²,5,425 m²,wolnostojący,pustak,2015,,,wtórny,0,1 100 000 zł
255,Dom na sprzedaż mazowieckie pruszkowski Wolica ,105 m²,5,1 555 m²,,,1998,do remontu,drewniane,wtórny,1 piętro,949 800 zł
256,Dom na sprzedaż mazowieckie Warszawa Ursynów Cymbalistów ,"131,47 m²",4,184 m²,bliźniak,,2021,do wykończenia,plastikowe,pierwotny,1 piętro,1 165 436 zł
257,Dom na sprzedaż mazowieckie pruszkowski Rozalin ,"273,40 m²",5,841 m²,wolnostojący,pustak,2004,,,wtórny,1 piętro,1 200 000 zł
258,Dom na sprzedaż mazowieckie pruszkowski Laszczki ,246 m²,7,1 028 m²,wolnostojący,pustak,2021,do wykończenia,plastikowe,pierwotny,parterowy,1 800 000 zł
259,Dom na sprzedaż mazowieckie Warszawa Włochy ,600 m²,więcej niż 10,699 m²,,cegła,1933,do zamieszkania,,wtórny,2 piętra,3 800 000 zł
260,Dom na sprzedaż mazowieckie sochaczewski Młodzieszyn ,240 m²,7,33 000 m²,wolnostojący,cegła,2002,,,wtórny,1 piętro,3 300 000 zł
261,Dom na sprzedaż mazowieckie piaseczyński Józefosław ,400 m²,10,2 400 m²,,,0,,,wtórny,0,1 800 000 zł
262,Dom na sprzedaż mazowieckie pruszkowski Kajetany Cisowa ,300 m²,7,800 m²,wolnostojący,cegła,2011,do zamieszkania,drewniane,wtórny,0,1 599 000 zł
263,Dom na sprzedaż mazowieckie Warszawa Mokotów Służewiec ,570 m²,więcej niż 10,523 m²,,,0,,,wtórny,parterowy,3 990 000 zł
264,Dom na sprzedaż mazowieckie Warszawa Białołęka Brzeziny ,73 m²,3,844 m²,wolnostojący,pustak,1993,,,wtórny,1 piętro,720 000 zł
265,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,"88,18 m²",4,451 m²,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,569 000 zł
266,Dom na sprzedaż mazowieckie płocki Łąck ,195 m²,7,3 100 m²,wolnostojący,cegła,1975,do zamieszkania,plastikowe,wtórny,2 piętra,495 000 zł
267,Dom na sprzedaż mazowieckie wołomiński Marki Struga ul. Błękitna ,135 m²,5,50 m²,bliźniak,,2018,do zamieszkania,plastikowe,wtórny,2 piętra,580 000 zł
268,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki Bohaterów Modlina ,618 m²,więcej niż 10,615 m²,wolnostojący,,2021,do wykończenia,plastikowe,wtórny,1 piętro,2 800 000 zł
269,Dom na sprzedaż mazowieckie Warszawa Wawer ,273 m²,6,500 m²,wolnostojący,inne,1999,do zamieszkania,drewniane,wtórny,1 piętro,2 487 000 zł
